Vocab Word,Definition
sphere,"a round, three-dimensional object whose surface is the same distance from its center at all points; Earth is a sphere that bulges somewhat at the equator and is slightly flattened at the poles."
spiracles,openings in the abdomen and thorax of insects through which air enters and waste gases leave.
spontaneous generation,idea that living things come from nonliving things.
sporangium,round spore case of a zygote fungus.
spores,"waterproof reproductive cell of a fungus that can grow into a new organism; in plants, haploid cells produced in the gametophyte stage that can divide by mitosis to form plant structures or an entire new plant or can develop into sex cells."
sporophyte stage,plant life-cycle stage that begins when an egg is fertilized by a sperm.
spring,forms when the water table meets Earth’s surface; often found on hillsides and used as a freshwater source.
stamen,"male reproductive organ inside the flower of an angiosperm; consists of an anther, where pollen grains form, and a filament."
standard,"exact, agreed-upon quantity used for comparison."
standing wave,"a wave pattern that forms when waves of equal wavelength and amplitude, but traveling in opposite directions, continuously interfere with each other; has points called nodes that do not move."
static electricity,the accumulation of excess electric charge on an object.
static friction,frictional force that prevents two surfaces from sliding past each other.
station model,"indicates weather conditions at a specific location, using a combination of symbols on a map."
stinging cells,capsules with coiled triggerlike structures that help cnidarians capture food.
stomata,"tiny openings in a plant’s epidermis through which carbon dioxide, water vapor, and oxygen enter and exit."
streak,color of a mineral when it is in powdered form.
stream discharge,volume of water that flows past a specific point per unit of time.
strike-slip fault,"break in rock caused by shear forces, where rocks move past each other without much vertical movement."
strong force,attractive force that acts between protons and neutrons in an atomic nucleus.
sublimation,the process of a solid changing directly to a vapor without forming a liquid.
substance,element or compound that cannot be broken down into simpler components and maintain the properties of the original substance.
substituted hydrocarbon,hydrocarbon with one or more of its hydrogen atoms replaced by atoms or groups of other elements.
succession,"natural, gradual changes in the types of species that live in an area; can be primary or secondary."
sunspots,"areas on the Sun’s surface that are cooler and less bright than surrounding areas, are caused by the Sun’s magnetic field, and occur in cycles."
supergiant,"late stage in the life cycle of a massive star in which the core heats up, heavy elements form by fusion, and the star expands; can eventually explode to form a supernova."
supersaturated solution,any solution that contains more solute than a saturated solution at the same temperature.
surface current,"wind-powered ocean current that moves water horizontally, parallel to Earth’s surface, and moves only the upper few hundred meters of seawater."
surface wave,seismic wave that moves rock particles up-and-down in a backward rolling motion and side-to-side in a swaying motion.
suspension,heterogeneous mixture containing a liquid in which visible particles settle.
symbiosis,"any close relationship between species, including mutualism, commensalism, and parasitism."
synapse,small space across which an impulse moves from an axon to the dendrites or cell body of another neuron.
synthesis reaction,chemical reaction in which two or more substances combine to form a different substance.
synthetic,"describes polymers, such as plastics, adhesives, and surface coatings, that are made from hydrocarbons."
systemic circulation,"largest part of the circulatory system, in which oxygen-rich blood flows to all the organs and body tissues, except the heart and lungs, and oxygen-poor blood is returned to the heart."
taiga,"world’s largest biome, located south of the tundra between 50°N and 60°N latitude; has long, cold winters, precipitation between 35 cm and 100 cm each year, cone-bearing evergreen trees, and dense forests."
taste bud,major sensory receptor on the tongue; contains taste hairs that send impulses to the brain for interpretation of tastes.
technology,"use of scientific discoveries for practical purposes, making people’s lives easier and better."
temperate deciduous forest,"biome usually having four distinct seasons, annual precipitation between 75 cm and 150 cm, and climax communities of deciduous trees."
temperate rain forest,"biome with 200 cm to 400 cm of precipitation each year, average temperatures between 9°C and 12°C, and forests dominated by trees with needlelike leaves."
temperate zones,climate zones with moderate temperatures that are located between the tropics and the polar zones.
temperature,measure of the average kinetic energy of all the particles in an object.
tendon,thick band of tissue that attaches bones to muscles.
tentacles,armlike structures that have stinging cells and surround the mouths of most cnidarians.
tephra,bits of rock or solidified lava dropped from the air during an explosive volcanic eruption; ranges in size from volcanic ash to volcanic bombs and blocks.
terracing,farming method used to reduce erosion on steep slopes.
testis,male organ that produces sperm and testosterone.
theory,explanation of things or events based on scientific knowledge resulting from many observations and experiments.
thermal energy,"sum of the kinetic and potential energy of the particles in an object; is transferred by conduction, convection, and radiation."
thermal expansion,increase in the size of a substance when the temperature is increased.
thermodynamics,"study of the relationship between thermal energy, heat, and work."
tidal range,the difference between the level of the ocean at high tide and the level at low tide.
tide,"daily rise and fall in sea level caused, for the most part, by the interaction of gravity in the Earth-Moon system."
till,mixture of different-sized sediments that is dropped from the base of a retreating glacier and can cover huge areas of land.
tissue,group of similar cells that work together to do one job.
titration,process in which a solution of known concentration is used to determine the concentration of another solution.
topographic map,map that shows the changes in elevation of Earth’s surface and indicates such features as roads and cities.
tornado,"violent, whirling windstorm that crosses land in a narrow path and can result from wind shears inside a thunderhead."
total internal reflection,occurs when light strikes a boundary between two materials and is completely reflected.
toxin,poisonous substance produced by some pathogens.
tracer,"radioactive isotope, such as iodine-131, that can be detected by the radiation it emits after it is absorbed by a living organism."
trachea,"air-conducting tube that connects the larynx with the bronchi; is lined with mucous membranes and cilia, and contains strong cartilage rings."
transceiver,"device that transmits one radio signal and receives another radio signal at the same time, allowing a cordless phone user to talk and listen at the same time."
transformer,device that uses electromagnetic induction to increase or decrease the voltage of an alternating current.
transition elements,elements in Groups 3 through 12 of the periodic table; occur in nature as uncombined elements and include the iron triad and coinage metals.
translucent,material that transmits some light but not enough to see objects clearly through it.
transmutation,process of changing one element to another through radioactive decay.
transparent,material that transmits almost all the light striking it so that objects can be clearly seen through it.
transverse wave,wave for which the matter in the medium moves back and forth at right angles to the direction the wave travels; has crests and troughs.
trench,"long, narrow, steep-sided depression in the seafloor formed where one crustal plate sinks beneath another."
trilobite,organism with a three-lobed exoskeleton that was abundant in Paleozoic oceans and is considered to be an index fossil.
tropical rain forest,most biologically diverse biome; has an average temperature of 25°C and receives between 200 cm and 600 cm of precipitation each year.
tropics,"climate zone that receives the most solar radiation, is located between latitudes 23°N and 23°S, and is always hot, except at high elevations."
tropism,"positive or negative plant response to an external stimulus such as touch, light, or gravity."
troposphere,"layer of Earth’s atmosphere that is closest to the ground, contains 99 percent of the water vapor and 75 percent of the atmospheric gases, and is where clouds and weather occur."
trough,lowest point of a wave.
tsunami,seismic sea wave that begins over an earthquake focus and can be highly destructive when it crashes on shore.
tube feet,"hydraulic, hollow, thin-walled tubes that end in suction cups and enable echinoderms to move."
tundra,"cold, dry, treeless biome with less than 25 cm of precipitation each year, a short growing season, permafrost, and winters that can be six to nine months long. Tundra is separated into two types: arctic tundra and alpine tundra."
turbine,"large wheel that rotates when pushed by steam, wind, or water and provides mechanical energy to a generator."
Tyndall effect,scattering of a light beam as it passes through a colloid.
ultrasonic,"sound waves with frequencies above 20,000 Hz."
ultraviolet radiation,"a type of energy that comes to Earth from the Sun, can damage skin and cause cancer, and is mostly absorbed by the ozone layer."
ultraviolet waves,electromagnetic waves with wavelengths between about 400 billionths and 10 billionths of a meter.
umbilical cord,connects the embryo to the placenta; moves food and oxygen from the placenta to the embryo and removes the embryo’s waste products.
unconformity,gap in the rock layer that is due to erosion or periods without any deposition.
uniformitarianism,principle stating that Earth processes occurring today are similar to those that occurred in the past.
unsaturated hydrocarbon,"compound, such as ethene or ethyne, that contains at least one double or triple bond between carbon atoms."
unsaturated solution,any solution that can dissolve more solute at a given temperature.
upwarped mountains,mountains formed when blocks of Earth’s crust are pushed up by forces inside Earth.
upwelling,"vertical circulation in the ocean that brings deep, cold water to the ocean surface."
ureter,tube that carries urine from each kidney to the bladder.
urethra,tube that carries urine from the bladder to the outside of the body.
urinary system,"system of excretory organs that rids the blood of wastes, controls blood volume by removing excess water, and balances concentrations of salts and water."
urine,"wastewater that contains excess water, salts, and other wastes that are not reabsorbed by the body."
uterus,"in female humans, hollow, muscular, pear- shaped organ where a fertilized egg develops into a baby."
vaccine,preparation made from killed bacteria or damaged particles from bacterial cell walls or viruses that can prevent some bacterial and viral diseases.
vagina,muscular tube that connects the lower end of a female’s uterus to the outside of the body; the birth canal through which a baby travels when being born.
variable,something in an experiment that can change.
variation,inherited trait that makes an individual different from other members of the same species and results from a mutation in the organism’s genes.
vascular plant,"plant with tubelike structures that move minerals, water, and other substances throughout the plant."
vein,"blood vessel that carries blood back to the heart, and has one-way valves that keep blood moving toward the heart."
velocity,the speed and direction of a moving object.
vent,"opening where magma is forced up and flows out onto Earth’s surface as lava, forming a volcano."
ventricles,"two lower chambers of the heart, that contract at the same time, during a heartbeat."
vertebrae,backbones that are joined by flexible cartilage and protect a vertebrate’s spinal nerve cord.
vertebrate,animal with a backbone.
vestigial structure,"structure, such as the human appendix, that doesn’t seem to have a function and may once have functioned in the body of an ancestor."
villi,fingerlike projections covering the wall of the small intestine that increase the surface area for food absorption.
virtual image,"an image formed by diverging light rays that is perceived by the brain, even though no actual light rays pass through the place where the image seems to be located."
virus,a strand of hereditary material surrounded by a protein coating that can infect and multiply in a host cell.
viscosity,a fluid’s resistance to flow.
visible light,electromagnetic waves with wavelengths of 750 to 400 billionths of a meter that can be detected by human eyes.
vitamin,"water-soluble or fat-soluble organic nutrient needed in small quantities for growth, for preventing some diseases, and for regulating body functions."
volcanic mountains,mountains formed when molten material reaches Earth’s surface through a weak crustal area and piles up into a cone- shaped structure.
volcanic neck,solid igneous core of a volcano left behind after the softer cone has been eroded.
volcano,"opening in Earth’s surface that erupts sulfurous gases, ash, and lava; can form at Earth’s plate boundaries, where plates move apart or together, and at hot spots."
voltage difference,related to the force that causes electric charges to flow; measured in volts (V).
volume,amount of space occupied by an object.
voluntary muscle,"muscle, such as a leg or arm muscle, that can be consciously controlled."
waning,"describes phases that occur after a full moon, as the visible lighted side of the Moon grows smaller."
water cycle,"model describing how water moves from Earth’s surface to the atmosphere and back to the surface again through evaporation, condensation, and precipitation."
water table,upper surface of the zone of saturation; drops during a drought.
water-vascular system,"network of water-filled canals that allows echinoderms to move, capture food, give off wastes, and exchange carbon dioxide and oxygen."
wave,a repeating disturbance or movement that transfers energy through matter or space.
wavelength,distance between one point on a wave and the nearest point just like it.
waxing,"describes phases following a new moon, as more of the Moon’s lighted side becomes visible."
weak acid,any acid that only partly dissociates in solution.
weak base,any base that does not dissociate completely in solution.
weather,"state of the atmosphere at a specific time and place, determined by factors including air pressure, amount of moisture in the air, temperature, wind, and precipitation."
weathering,mechanical or chemical surface processes that break rock into smaller and smaller pieces.
wedge,simple machine that is an inclined plane with one or two sloping sides.
weight,gravitational force exerted on an object.
wetland,a land region that is wet most or all of the year.
wheel and axle,"simple machine that consists of a shaft or axle attached to the center of a larger wheel, so that the shaft and the wheel rotate together."
white dwarf,"late stage in the life cycle of a comparatively low-mass main sequence star; formed when its core depletes its helium and its outer layers escape into space, leaving behind a hot, dense core."
wind farm,area where many windmills use wind to generate electricity.
work,transfer of energy that occurs when a force makes an object move; measured in joules.
zygote,new diploid cell formed when a sperm fertilizes an egg; will divide by mitosis and develop into a new organism.
fat,"nutrient that stores energy, cushions organs, and helps the body absorb vitamins."
fault,surface along which rocks move when they pass their elastic limit and break.
fault-block mountains,"mountains formed from huge, tilted blocks of rock that are separated from surrounding rocks by faults."
fermentation,"process by which oxygen-lacking cells and some one-celled organisms release small amounts of energy from glucose molecules and produce wastes such as alcohol, carbon dioxide, and lactic acid."
fertilization,"in sexual reproduction, the joining of a sperm and egg."
fertilizer,chemical that helps plants and other organisms grow.
fetal stress,"can occur during the birth process or after birth as an infant adjusts from a watery, dark, constant-temperature environment to its new environment."
fetus,"in humans, a developing baby after the first two months of pregnancy until birth."
fin,"structure used by fish for steering, balancing, and movement."
first law of thermodynamics,states that the increase in thermal energy of a system equals the work done on the system plus the heat added to the system.
fission,simplest form of asexual reproduction in which two new cells are produced with genetic material identical to each other and identical to the previous cell.
flagellum,"long, thin whiplike structure that helps organisms move through moist or wet surroundings."
fluorescent light,light that results when ultraviolet radiation produced inside a fluorescent bulb causes the phosphor coating inside the bulb to glow.
focal length,distance from the center of a lens or mirror to the focal point.
focal point,"the point on the optical axis of a concave mirror or convex lens where light rays, that are initially parallel to the optical axis, pass through after they strike the mirror or lens."
focus,"in an earthquake, the point below Earth’s surface where energy is released in the form of seismic waves."
fog,a stratus cloud that forms when air is cooled to its dew point near the ground.
folded mountains,"mountains formed when horizontal rock layers are squeezed from opposite sides, causing them to buckle and fold."
foliated,"describes metamorphic rock, such as slate and gneiss, whose mineral grains line up in parallel layers."
food group,"group of foods—such as bread, cereal, rice, and pasta—containing the same type of nutrients."
food web,model that shows the complex feeding relationships among organisms in a community.
force,a push or pull exerted on an object.
fossil fuels,"oil, natural gas, and coal; formed from the decayed remains of ancient plants and animals."
fossils,"remains, imprints, or traces of prehistoric organisms that can tell when and where organisms once lived and how they lived."
fracture,"physical property of some minerals that causes them to break with uneven, rough, or jagged surfaces."
free-living organism,organism that does not depend on another organism for food or a place to live.
frequency,the number of wavelengths that pass a fixed point each second; is expressed in hertz (Hz).
friction,force that opposes the sliding motion between two touching surfaces.
frond,leaf of a fern that grows from the rhizome.
front,"boundary between two air masses with different temperatures, density, or moisture; can be cold, warm, occluded, and stationary."
full moon,phase that occurs when all of the Moon’s surface facing Earth reflects light.
fat,"nutrient that stores energy, cushions organs, and helps the body absorb vitamins."
fault,surface along which rocks move when they pass their elastic limit and break.
fault-block mountains,"mountains formed from huge, tilted blocks of rock that are separated from surrounding rocks by faults."
fermentation,"process by which oxygen-lacking cells and some one-celled organisms release small amounts of energy from glucose molecules and produce wastes such as alcohol, carbon dioxide, and lactic acid."
fertilization,"in sexual reproduction, the joining of a sperm and egg."
fertilizer,chemical that helps plants and other organisms grow.
fetal stress,"can occur during the birth process or after birth as an infant adjusts from a watery, dark, constant-temperature environment to its new environment."
fetus,"in humans, a developing baby after the first two months of pregnancy until birth."
fin,"structure used by fish for steering, balancing, and movement."
first law of thermodynamics,states that the increase in thermal energy of a system equals the work done on the system plus the heat added to the system.
fission,simplest form of asexual reproduction in which two new cells are produced with genetic material identical to each other and identical to the previous cell.
flagellum,"long, thin whiplike structure that helps organisms move through moist or wet surroundings."
fluorescent light,light that results when ultraviolet radiation produced inside a fluorescent bulb causes the phosphor coating inside the bulb to glow.
focal length,distance from the center of a lens or mirror to the focal point.
focal point,"the point on the optical axis of a concave mirror or convex lens where light rays, that are initially parallel to the optical axis, pass through after they strike the mirror or lens."
focus,"in an earthquake, the point below Earth’s surface where energy is released in the form of seismic waves."
fog,a stratus cloud that forms when air is cooled to its dew point near the ground.
folded mountains,"mountains formed when horizontal rock layers are squeezed from opposite sides, causing them to buckle and fold."
foliated,"describes metamorphic rock, such as slate and gneiss, whose mineral grains line up in parallel layers."
food group,"group of foods—such as bread, cereal, rice, and pasta—containing the same type of nutrients."
food web,model that shows the complex feeding relationships among organisms in a community.
force,a push or pull exerted on an object.
fossil fuels,"oil, natural gas, and coal; formed from the decayed remains of ancient plants and animals."
fossils,"remains, imprints, or traces of prehistoric organisms that can tell when and where organisms once lived and how they lived."
fracture,"physical property of some minerals that causes them to break with uneven, rough, or jagged surfaces."
free-living organism,organism that does not depend on another organism for food or a place to live.
frequency,the number of wavelengths that pass a fixed point each second; is expressed in hertz (Hz).
friction,force that opposes the sliding motion between two touching surfaces.
frond,leaf of a fern that grows from the rhizome.
front,"boundary between two air masses with different temperatures, density, or moisture; can be cold, warm, occluded, and stationary."
full moon,phase that occurs when all of the Moon’s surface facing Earth reflects light.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
